Title,Body,CAT,Author,Link,Key (Guitar),Alternative Title,Guitar Chords
Holy Spirit,"There's nothing worth more
That will ever come close
No thing can compare
You're our living hope
Your presence Lord

I've tasted and seen
Of the sweetest of loves
Where my heart becomes free
And my shame is undone
Your presence Lord

Holy Spirit You are welcome here
Come flood this place
And fill the atmosphere
Your glory God is what our hearts long for
To be overcome by Your presence Lord

Let us become more aware
Of Your presence
Let us experience
The glory of Your goodness
",,,,,,
I exalt thee,"For thou oh Lord art high, above all the earth
Thou art exalted far above all gods
Thou oh Lord art high above all the earth
Thou art exalted far above all gods

(Chorus)
I exalt thee, I exalt thee, I exalt thee
Oh Lord
",,,,E,,
I Surrender,"Here I am
Down on my knees again
Surrendering all
Surrendering all

And find me here
Lord as You draw me near
Desperate for You
Desperate for You

I surrender

Drench my soul
As mercy and grace unfold
I hunger and thirst
I hunger and thirst

With arms stretched wide
I know You hear my cry
Speak to me now
Speak to me now

I surrender
I wanna know You more
I wanna know You more

Like a rushing wind
Jesus breathe within
Lord have Your way
Lord have Your way in me

Like a mighty storm
Stir within my soul
Lord have Your way
Lord have Your way in me",,Hillsong,,C,,
I Surrender all,"All to Jesus I surrender
All to Him I freely give
I will ever love and trust Him
In His presence daily live.

I surrender all, I surrender all
All to Thee, my blessed Savior
I surrender all.

All to Jesus I surrender
Make me, Savior, wholly Thine
Let me feel Thy Holy Spirit
Truly know that Thou art mine.

All to Jesus I surrender
Lord, I give myself to Thee
Fill me with Thy love and power
Let Thy blessing fall on me.",,,,Em,,
"In the secret, in the quiet place","In the secret, in the quiet place
In the stillness You are there.
In the secret, in the quiet hour I wait,
Only for You, 'cause I want to know You more;

I want to know You,
I want to hear Your voice
I want to know You more.
I want to touch You,
I want to see Your face
I want to know You more.

I am reaching for the highest goal,
Then I might receive the prize.
Pressing onward, pushing every hindering aside,
Out of my way, 'cause I want to know you more
",,,,E,,
Jesus Lamb Of God (You Are My All In All),"You are my strength when I am weak 
You are the treasure that I seek in
You are my all in all! 

Seeking you as a precious jewel 
Lord, to give up I’d be a fool 
You are my all in all! 

Taking my sin, my cross, my shame 
Rising again, bless your name 
You are my all in all! 

When I fall down, You pick me up 
When I am dry, You fill my cup 
You are my all in all! 

Jesus, Lamb of God worthy is your name 
Jesus, Lamb of God worthy is your name
",,,,,,
Liberty,"The Lord is the Spirit
Where the Spirit of the Lord is, now
There is liberty
And the Spirit lives inside of me
Where the Spirit of the Lord is, now
There is liberty, there is liberty,
There is liberty

(Chorus)
For freedom You set me free
And yes, I am free indeed
You rewrote my name
And shackled my shame
You opened my eyes to see
I am free

When the spirit of the world comes 
To kill me and enslave me I will say
There is liberty
For the chains of sin 
That once entangled me
Have been broken, now I'm singing 'cause I'm free
There is liberty, there is liberty,
There is liberty

(Bridge)
The storm rolled in
It was dark in the land
As the Son of Man
Was crucified
You don't take his life
He laid it down
He paid the price
And shed His blood

It is done!
The veil is torn
He has won
And I am free
And I am free
And I am free
I am free",,Shane & Shane,https://www.youtube.com/watch?v=rjkwN2l19zU,G,,
Missionary Anthem,"For the Lamb has conquered
I follow Him
To the ends of the Earth
I will follow Him

Jesus You're worthy
Of every tribe and tongue
It's all for Your glory
Till every soul is won

The harvest is ready
We have to go
We won't stop till the whole world knows
The power in Your blood
To save every soul
We're not ashamed of the gospel",,Kona Music,https://www.youtube.com/watch?v=KqYN5jAiwUM,A,,
"More love, more power","More love, more power
More of You in my life
More love, more power
More of You in my life

And I will worship You, with all of my heart
I will worship You, with all of my mind
I will worship You, with all of my strength
For You are my Lord
",,Michael W. Smith,,,,
O Come to the altar,"Are you hurting and broken within?
Overwhelmed by the weight of your sin?
Jesus is calling
Have you come to the end of yourself
Do you thirst for a drink from the well?
Jesus is calling

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Leave behind your regrets and mistakes
Come today there's no reason to wait
Jesus is calling
Bring your sorrows and trade them for joy
From the ashes a new life is born
Jesus is calling (Oh, oh)
O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Oh what a Savior
Isn't He wonderful?
Sing Hallelujah, Christ is risen
Bow down before Him
For He is Lord of all
Sing Hallelujah, Christ is risen",,Elevation Worship,,E,,
On our side,"On our side
You don´t leave, you are always faithful 
You are for us
In any battle you are victorious 

We call your name, Jesus
Forever reign, Saviour
In your hand is everything
Jesus, everything

Your ways are higher
Your love is deeper
I will praise every morning
Your goodness
Your goodness",,Samuel Jacobsen,,,,
Shout to the Lord,"My Jesus, my Saviour
Lord there is none like You
All of my days I want to praise
The wonders of Your mighty love

My comfort, my shelter
Tower of refuge and strength
Let every breath, all that I am
Never cease to worship You

Shout to the Lord all the Earth, let us sing
Power and majesty, praise to the King
Mountains bow down and the seas will roar
At the sound of Your name

I sing for joy at the work of Your hands
Forever I'll love You, forever I'll stand

Nothing compares to the promise I have
In You",,Hillsong,,,,
Thank you Jesus,"Grace that flows like a river
Washing over me
Fount of heaven, love of Christ
Overflow in me

Thank You, Jesus
You set me free
Christ my Saviour
You rescued me

Take this life delivered
A vessel of Your love
Wholly now devoted
To see Your kingdom come

You've given me life
You've opened my eyes
I love You, Lord
I love You, Lord
You've entered my heart
You've set me apart
I love You, Lord
I love You, Lord
",,,,,,
The Heart Of Worship,"When the music fades
All is stripped away
And I simply come
Longing just to bring
Something that's of worth
That will bless Your heart
I'll bring You more than a song
For a song in itself
Is not what You have required
You search much deeper within
Through the way things appear
You're looking into my heart.

I'm coming back to the heart of worship
And it's all about You
It's all about You, Jesus
I'm sorry, Lord, for the thing I've made it
When it's all about You
It's all about You, Jesus

King of endless worth
No one could express
How much You deserve
Though I'm weak and poor
All I have is Yours
Every single breath
I'll bring You more than a song
For a song in itself
Is not what You have required
You search much deeper within
Through the way things appear
You're looking into my heart
",,Michael W. Smith,,E,,
What A Beautiful Name,"You were the Word at the beginning
One with God the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful Name it is
What a beautiful Name it is
The Name of Jesus Christ my King
What a beautiful Name it is
Nothing compares to this
What a beautiful Name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now?

What a wonderful Name it is
What a wonderful Name it is
The Name of Jesus Christ my King
What a wonderful Name it is
Nothing compares to this
What a wonderful Name it is
The Name of Jesus

Death could not hold You
The veil tore before You
You silenced the boast of sin and grave
The heavens are roaring
The praise of Your glory
For You are raised to life again

You have no rival
You have no equal
Now and forever, God You reign
Yours is the kingdom
Yours is the glory
Yours is the Name above all names

What a powerful Name it is
What a powerful Name it is
The Name of Jesus Christ my King
What a powerful Name it is
Nothing can stand against
What a powerful Name it is
The Name of Jesus
",,,,G,,
Worthy,"It was my cross You bore, 
So I could live in the freedom You died for
And now my life is Yours, 
And I will sing of Your goodness forevermore

Worthy is Your name, Jesus
You deserve the praise, 
Worthy is Your name
Worthy is Your name, Jesus
You deserve the praise, 
Worthy is Your name

And now my shame is gone
I stand amazed in Your love undeniable
Your grace goes on and on
And I will sing of Your goodness forevermore

Be exalted now in the heavens
As Your glory fills this place
You alone deserve our praise
You're the name above all names",,,,D,,
Worthy Is The Lamb,"Thank you for the cross, Lord
Thank you for the price You paid
Bearing all my sin and shame
In love You came
And gave amazing grace

Thank you for this love, Lord
Thank you for the nail pierced hands
Washed me in Your cleansing flow
Now all I know
Your forgiveness and embrace

Worthy is the Lamb
Seated on the throne
Crown You now with many crowns
You reign victorious

High and lifted up
Jesus Son of God
The Darling of Heaven crucified
Worthy is the Lamb
Worthy is the Lamb
",,,,G,,
Nothing else matters,"I'm caught up in Your presence
I just want to sit here at Your feet
I'm caught up in this holy moment
I never wanna leave

Oh, I'm not here for blessings
Jesus, You don't owe me anything
More than anything that You can do
I just want You

I'm sorry when I've just gone through the motions
I'm sorry when I just sang another song
Take me back to where we started
I open up my heart to You

I'm sorry when I've come with my agenda
I'm sorry when I forgot that You're enough
Take me back to where we started
I open up my heart to You

I'm caught up in Your presence
I just want to sit here at Your feet
I'm caught up in this holy moment
I never wanna leave

Oh, I'm not here for blessings
Jesus, You don't owe me anything
And more than anything that You can do
I just want You

I just want You
Nothing else, nothing else
Nothing else will do
I just want You
Nothing else, nothing else
Nothing else will do

I just want You
Nothing else, nothing else
Nothing else will do
I just want You
Nothing else, nothing else, Jesus
Nothing else will do

I just want You
Nothing else, nothing else
Nothing else will do
I just want You
Nothing else, nothing else, Jesus
Nothing else will do

I'm coming back to where we started
I'm coming back to where we started
When I first felt Your love
You're all that matters, Jesus
You're all that matters
I'm coming back to what really matters
Just Your heart

I just wanna bless Your heart, Jesus
I'm caught up in Your presence
I just want to sit here at Your feet
I'm caught up in this holy moment
I never wanna leave

And oh, I'm not here for blessings
Jesus, You don't owe me anything
More than anything that You can do
Oh, I just want You",,,,,,
God maakt vrij,"In de naam van de Vader
In de naam van de Zoon
In de naam van de Geest voor Uw troon
Zijn wij hier gekomen en verhogen Uw naam
U geeft ons genade, U roepen wij aan

In de naam van de Vader
In de naam van de Zoon
In de naam van de Geest voor Uw troon
Zijn wij hier gekomen en verhogen Uw naam
U geeft ons genade, U roepen wij aan

Hoor ons loflied Heer, onze dank weerklinkt
Eng'len buigen neer, Uw gemeente zingt
En U draagt ons hoog op Uw vleugels mee
Heel de wereld ziet het
God maakt vrij, God maakt vrij

In die hoop leven wij
In de naam van de Vader
In de naam van de Zoon
In de naam van de Geest voor Uw troon
Zijn wij hier gekomen en verhogen Uw naam
U geeft ons genade, U roepen wij aan
Hoor ons loflied Heer, onze dank weerklinkt
Eng'len buigen neer, Uw gemeente zingt
En U draagt ons hoog op Uw vleugels mee
Heel de wereld ziet het
God maakt vrij, God maakt vrij
In die hoop leven wij
Ons verdriet wordt een lied
God maakt vrij, God maakt vrij
Hoor ons loflied Heer, onze dank weerklinkt
Eng'len buigen neer, Uw gemeente zingt
En U draagt ons hoog op Uw vleugels mee
Heel de wereld ziet het
Ja de wereld ziet het
God maakt vrij, God maakt vrij
In die hoop leven wij
Ons verdriet wordt een lied
God maakt vrij, God maakt vrij
God maakt vrij, God maakt vrij
God maakt vrij, God maakt vrij",,Opwekking,,,Opwekking 720,
Groot is de Heer,"Groot is de Heer God Almachtig 
Groot is de hoogste Heer 
de zoom van Zijn kleed vult de tempel 
en wij roepen: 'Heilig Heer!' 

Glorie aan de Zoon van God 
Glorie aan de Heer 
Koning en Heer 
Open de poort, effent de baan 
zodat de Koning binnen kan gaan 
en voor eeuwig is Hij God! 

Heilig is de Heer God almachtig 
Heilig is de hoogste Heer 
laat heel de aard voor hem buigen 
en Hem kronen alle eer 

Glorie aan de Zoon van God 
Glorie aan de Heer 
Koning en Heer 
Open de poort, effent de baan 
zodat de Koning binnen kan gaan 
en voor eeuwig is Hij God! 

Open de poort, effent de baan 
zodat de Koning binnen kan gaan 
en voor eeuwig is Hij God! 

Glorie aan de Zoon van God 
Glorie aan de Heer 
Koning en Heer 

Aan de Heer 
Koning en Heer (3x) 

Open de poort, effent de baan 
zodat de Koning binnen kan gaan 
en voor eeuwig is Hij God (2x) 

en voor eeuwig is hij God (2x) ",,Opwekking,,,Opwekking 622,
Ik kies vandaag,"Verse
Ik kies vandaag: ik leef voor U.
Ik kies vandaag: ik geef mijn 'ja' aan U.
Ik kies vandaag: ik wil uw stem verstaan.
Ik kies vandaag: ik leef voor U.

Chorus
Want met heel mijn gezin
dien ik U Heer.
Want met heel mijn gezin
wil ik leven tot uw eer,
vandaag.

Bridge
Vader God, Vredevorst,
Wonderbare Raadsman,
Majesteit, toegewijd
willen wij U volgen.

CCLI Song # 5968149",,Brian Doerksen,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/cleioWKiqVFt2VWIAfoW/pub/pikm61btQmpmHzsWlN3E.jpg
Goodness of God,"Verse 1
I love You Lord
Oh Your mercy never fails me
All my days
I've been held in Your hands
From the moment that I wake up
Until I lay my head
I will sing of the goodness of God

Chorus
All my life You have been faithful
All my life You have been so so good
With every breath that I am able
I will sing of the goodness of God

Verse 2
I love Your voice
You have led me through the fire
In darkest night
You are close like no other
I've known You as a father
I've known You as a friend
I have lived in the goodness of God

Bridge
Your goodness is running after
It’s running after me
Your goodness is running after
It’s running after me
With my life laid down
I’m surrendered now
I give You everything
Your goodness is running after
It's running after me

CCLI Song # 7117726",Worship,Bethel Worship,,,,
His glory appears,"Verse 1
You gave me hope
You made me whole
At the cross

Verse 2
You took my place
You showed me grace
At the cross where You died for me

Chorus
And His glory appears
Like the light from the sun
Age to age He shines
Oh look to the skies hear the angels cry
Singing Holy is the Lord

CCLI Song # 5407301",Worship,Darlene Zschech,,,,
